Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Library-HIVD4DTLogic.json	1013	3	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	373	34	0	0	0	0	17	0	0
fsh-generated/resources/Library-HIVElements.json	1036	3	0	0	1	0	0	0	29	701	0	0	0	0	0	0	0	3	0	0	33863	2397	0	0	0	0	1480	0	6
fsh-generated/resources/Library-HIVEncounterElements.json	1090	3	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	18677	1117	0	0	0	0	826	0	0
fsh-generated/resources/Library-HIVIND11Logic.json	1105	3	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	140	27	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND12Logic.json	1078	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	154	21	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND13Logic.json	1070	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	150	20	0	0	0	0	7	0	1
fsh-generated/resources/Library-HIVIND14Logic.json	1106	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	175	22	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND15Logic.json	1132	3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	131	19	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND16Logic.json	1067	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	186	24	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND18Logic.json	1067	3	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	145	20	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND19Logic.json	1107	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	164	21	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND20Logic.json	1083	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	226	25	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND21Logic.json	1056	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	291	36	0	0	0	0	16	0	0
fsh-generated/resources/Library-HIVIND22Logic.json	1112	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	271	30	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND24Logic.json	1174	3	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	454	40	0	0	0	0	19	0	0
fsh-generated/resources/Library-HIVIND25Logic.json	1110	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	148	20	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND27Logic.json	1100	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	338	31	0	0	0	0	16	0	0
fsh-generated/resources/Library-HIVIND28Logic.json	1218	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	526	43	0	0	0	0	27	0	0
fsh-generated/resources/Library-HIVIND29Logic.json	1096	3	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	280	28	0	0	0	0	14	0	0
fsh-generated/resources/Library-HIVIND2Logic.json	1074	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	185	23	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND30Logic.json	1053	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	137	20	0	0	0	0	5	0	0
fsh-generated/resources/Library-HIVIND31Logic.json	1082	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	212	24	0	0	0	0	10	0	0
fsh-generated/resources/Library-HIVIND32Logic.json	1092	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	253	26	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND33Logic.json	1123	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	205	24	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND34Logic.json	1131	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	222	25	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND35Logic.json	1057	5	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	392	35	0	0	0	0	20	0	0
fsh-generated/resources/Library-HIVIND37Logic.json	1085	4	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	222	25	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND38Logic.json	1109	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	184	22	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND39Logic.json	1057	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	126	19	0	0	0	0	5	0	0
fsh-generated/resources/Library-HIVIND3Logic.json	1094	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	205	23	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND40Logic.json	1099	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	260	27	0	0	0	0	13	0	0
fsh-generated/resources/Library-HIVIND41Logic.json	1106	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	373	34	0	0	0	0	21	0	0
fsh-generated/resources/Library-HIVIND42Logic.json	1067	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	274	27	0	0	0	0	15	0	0
fsh-generated/resources/Library-HIVIND43Logic.json	1104	3	0	0	1	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0	177	22	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND44Logic.json	1095	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	163	21	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND45Logic.json	1128	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	187	22	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND46Logic.json	1147	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	212	24	0	0	0	0	10	0	0
fsh-generated/resources/Library-HIVIND47Logic.json	1080	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	181	22	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND48Logic.json	1078	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	164	21	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND49Logic.json	1113	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	166	21	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND4Logic.json	1037	3	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	185	82	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND50Logic.json	1118	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	203	25	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND51Logic.json	1112	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	243	26	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND52Logic.json	1109	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	256	26	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND53Logic.json	1126	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	250	27	0	0	0	0	11	0	1
fsh-generated/resources/Library-HIVIND54Logic.json	1068	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	162	21	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND55Logic.json	1232	5	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	164	21	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND56Logic.json	1069	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	201	24	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND57Logic.json	1089	4	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	462	33	0	0	0	0	21	0	0
fsh-generated/resources/Library-HIVIND58Logic.json	1105	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	164	22	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND59Logic.json	1087	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	140	20	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND5Logic.json	1057	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	161	20	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND60Logic.json	1107	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	187	22	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND61Logic.json	1096	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	158	21	0	0	0	0	8	0	0
